,playlist_id,channel_id,playlist_name,is_video
0,PLuMuHAJh9g_Py_PSm8gmHdlcil6CQ9QCM,UCl23-Cci_SMqyGXE1T_LYUg,성시경의 먹을텐데,True
1,PLXESWAdA56xPhqmL5kngzrkmFXEx0Du1v,UCAoyR-sL6B0S93AMR-HVTvg,떡볶퀸 식당,True
2,PLXESWAdA56xPA4OMrehiLX6kxf78zcl7x,UCAoyR-sL6B0S93AMR-HVTvg,떡볶이 투어 서울 (In Seoul),True
3,PLQfA8RCCsa8Fc-zWrUhzCEBDRAv95wk9c,UC50ac0_x8ZDoCSEpNV0p3-Q,서울 3대 맛집,True
4,PLQfA8RCCsa8ESsRE3Kw_s6GLU3WgLhrvE,UC50ac0_x8ZDoCSEpNV0p3-Q,인생 찐 맛집,True
5,PLQfA8RCCsa8GCzenYiZLMLyZQ3LV5RvhG,UC50ac0_x8ZDoCSEpNV0p3-Q,떡볶이 맛집,True
6,PLW0mcg-lUNoLXStuMLenVgGkG8Owp01Gj,UC1oXmhvYHVI2bApphh3IzuQ,양고기 맛집,True
7,PLW0mcg-lUNoI4MCs3kuvzauuTHmoKA6w-,UC1oXmhvYHVI2bApphh3IzuQ,정육왕 레스토랑 맛집,True
8,PLW0mcg-lUNoKfcCeiQbVDBSwCia0MEVds,UC1oXmhvYHVI2bApphh3IzuQ,돈까스 맛집,True
9,PLW0mcg-lUNoJa3wugdS8N83AFWqEM5ya1,UC1oXmhvYHVI2bApphh3IzuQ,인생맛집,True
10,PLCNYoGrzVJuUWTlwZ2CH9nfQF08959pIj,UC-x55HF1-IilhxZOzwJm7JA,[서울맛집] 외식인생 10년차의 서울 숨은 맛집 소개,True
11,PL5rXcHkSnrurV37AAiN40pK_6s0EV6h59,UCoLPofyAZuuq6v4EWrWRguw,서울 편 몰아보기,True
12,UU-OAmhcFgX9t_OF6fQ-4B1w,UC-OAmhcFgX9t_OF6fQ-4B1w,shorts,False
13,UUAKcAZDyYW0ReMxA4l5wQ2w,UCAKcAZDyYW0ReMxA4l5wQ2w,shorts,False
14,UUrI2RYBoPoar4wY3WsuX-oQ,UCrI2RYBoPoar4wY3WsuX-oQ,shorts,False
15,PL8MNkUitSaBx0dxpEggd3RORGZ8SS0CNW,UCkBoDzncl64EZ-Ggh4g5pCw,섬마을훈태 서울,True
16,PLTz7104yngSipKTF9S-Kd63oMIkqrUCe3,UCQA89gPDjJ-1M1o9bwdGF-g,서울(Seoul),True
17,PL-p-EO5iKqy5SmxQoi30s-eAn6YwOEW58,UCLwCHoQ9h7DPXvLwx5XwTQg,먹어주엽,True
18,PLy0EO_AuYYh8LA81b2326-5OhGHunY8yV,UCGOYrCwp_ks0b4f6XQwaS4Q,💜맛있는 야외먹방💜,True
